play_team,games,rim_rate,rim_pct,mid_rate,mid_pct,arc_rate,arc_pct,opp_rim_rate,opp_rim_pct,opp_mid_rate,opp_mid_pct,opp_arc_rate,opp_arc_pct
Long Island University Sharks,15,61.7,62.7,25.0,40.6,13.3,39.9,63.7,65.1,23.7,38.7,12.6,34.7
Longwood Lancers,18,63.6,70.2,21.5,34.2,14.9,30.6,55.4,69.0,24.1,36.9,20.6,33.6
Louisiana Ragin' Cajuns,16,46.1,63.2,36.7,32.7,17.2,32.8,64.5,68.3,22.5,35.9,12.9,30.7
Louisiana Tech Bulldogs,14,58.9,62.7,28.6,40.1,12.5,27.3,44.7,64.3,36.9,29.2,18.4,30.9
Louisville Cardinals,15,54.8,73.3,24.7,34.7,20.5,35.4,54.7,67.0,27.7,30.2,17.6,29.6
Loyola Chicago Ramblers,16,55.9,65.9,23.9,34.9,20.2,32.3,52.1,67.8,31.8,40.7,16.1,35.1
Loyola Maryland Greyhounds,16,54.4,62.0,25.6,40.1,19.9,34.3,54.3,68.2,28.7,41.5,17.0,33.0
Loyola Marymount Lions,17,53.8,67.7,30.5,40.6,15.8,34.4,57.3,63.2,30.4,39.0,12.3,33.8
Maine Black Bears,16,56.4,61.4,28.6,32.7,15.1,35.6,56.7,64.1,28.1,35.2,15.2,31.9
Manhattan Jaspers,16,59.9,65.8,25.7,39.8,14.3,34.6,55.6,65.8,30.2,36.2,14.2,41.2
Marist Red Foxes,14,51.9,68.3,36.9,39.4,11.2,33.9,55.1,64.4,32.5,33.5,12.4,28.5
Marquette Golden Eagles,16,59.9,59.9,19.8,33.7,20.3,31.7,54.6,67.6,26.0,40.7,19.3,33.6
Marshall Thundering Herd,16,48.3,72.8,32.6,39.3,19.1,32.2,56.3,62.9,27.9,35.4,15.8,33.0
Maryland Eastern Shore Hawks,18,52.9,62.9,33.7,37.9,13.4,30.4,57.8,66.8,28.1,34.0,14.1,33.5
Maryland Terrapins,15,57.1,63.5,27.3,42.2,15.7,31.4,56.0,66.8,25.3,43.6,18.7,34.9
Massachusetts Minutemen,16,62.4,63.7,24.2,39.2,13.4,36.0,61.9,68.5,23.1,32.5,15.1,31.9
