Date,Visitor,Home,V_Score,H_Score,Predicted_Spread,Market_Spread,Spread_Edge,Predicted_Total,Market_Total,Total_Edge,Bet_Signals
2025-12-31,George Washington,Richmond,73.8,61.8,-12.0,3.5,8.5,135.6,161.5,25.9,TOTAL UNDER 161.5 (5.0%); SPREAD George Washington -3.5 (5.0%)
2025-12-31,Georgia St.,Marshall,72.7,83.1,10.5,-13.5,3.0,155.4,153.5,1.9,SPREAD Georgia St. +13.5 (5.0%)
2025-12-31,Georgia Tech,Duke,63.3,100.7,37.4,-26.5,10.9,148.3,153.5,5.2,SPREAD Duke -26.5 (5.0%)
2025-12-31,Kansas City,Denver,69.7,63.9,-5.8,10.5,4.7,133.7,157.5,23.8,TOTAL UNDER 157.5 (5.0%); SPREAD Denver +10.5 (5.0%)
2025-12-31,North Texas,Memphis,63.0,70.6,7.6,-10.5,2.9,133.7,135.5,1.8,SPREAD North Texas +10.5 (5.0%)
2025-12-31,Wichita St.,UAB,79.7,83.9,4.2,-3.5,0.7,156.2,149.5,6.7,TOTAL OVER 149.5 (5.0%)
2025-12-31,New Orleans,Texas A&M Corpus Chris,67.4,82.9,15.5,-4.5,11.0,150.2,144.5,5.7,TOTAL OVER 144.5 (5.0%); SPREAD Texas A&M Corpus Chris -4.5 (5.0%)
2025-12-31,Stephen F. Austin,Northwestern St.,62.0,63.8,1.8,8.5,10.3,125.6,140.5,14.9,TOTAL UNDER 140.5 (5.0%); SPREAD Northwestern St. +8.5 (5.0%)
2025-12-31,UConn,Xavier,74.5,73.9,-0.7,12.5,11.8,142.2,145.5,3.3,SPREAD Xavier +12.5 (5.0%)
2025-12-31,South Dakota,North Dakota St.,79.9,84.1,4.3,-11.5,7.2,149.5,163.5,14.0,SPREAD South Dakota +11.5 (5.0%)
2025-12-31,DePaul,Villanova,67.2,75.8,8.6,-13.5,4.9,139.3,135.5,3.8,TOTAL OVER 135.5 (5.0%); SPREAD DePaul +13.5 (5.0%)
2025-12-31,Drexel,UNC Wilmington,61.0,71.2,10.3,-11.5,1.2,131.7,139.5,7.8,TOTAL UNDER 139.5 (5.0%)
2025-12-31,St. John's,Georgetown,81.4,70.0,-11.4,8.5,2.9,151.7,154.5,2.8,SPREAD St. John's -8.5 (5.0%)
2025-12-31,Army,Lehigh,70.0,75.4,5.5,-3.5,2.0,146.0,142.5,3.5,TOTAL OVER 142.5 (5.0%); SPREAD Lehigh -3.5 (5.0%)
2025-12-31,Lamar,East Texas A&M,66.0,63.5,-2.5,5.5,3.0,129.7,142.5,12.8,TOTAL UNDER 142.5 (5.0%); SPREAD East Texas A&M +5.5 (5.0%)
2025-12-31,Loyola Chicago,Rhode Island,76.0,74.7,-1.3,9.5,8.2,150.9,146.5,4.4,TOTAL OVER 146.5 (5.0%); SPREAD Rhode Island +9.5 (5.0%)
2025-12-31,Mercer,Furman,67.3,77.3,10.1,1.5,11.6,144.9,155.5,10.6,TOTAL UNDER 155.5 (5.0%); SPREAD Furman +1.5 (5.0%)
2025-12-31,Tulane,East Carolina,73.8,75.0,1.2,-1.5,0.3,146.1,144.5,1.6,
2025-12-31,Wake Forest,NC State,71.8,67.7,-4.1,9.5,5.4,139.3,158.5,19.2,TOTAL UNDER 158.5 (5.0%); SPREAD NC State +9.5 (5.0%)
2025-12-31,Boston University,Navy,66.7,68.6,2.0,-5.5,3.5,135.6,137.5,1.9,SPREAD Boston University +5.5 (5.0%)
2025-12-31,Buffalo,Northern Illinois,72.6,73.5,0.9,-6.5,5.6,146.6,152.5,5.9,TOTAL UNDER 152.5 (5.0%); SPREAD Buffalo +6.5 (5.0%)
2025-12-31,Loyola MD,American,65.5,70.4,4.9,10.5,15.4,134.7,153.5,18.8,TOTAL UNDER 153.5 (5.0%); SPREAD American +10.5 (5.0%)
2025-12-31,South Alabama,Louisiana,74.8,64.0,-10.8,-2.5,13.3,137.0,124.5,12.5,TOTAL OVER 124.5 (5.0%); SPREAD South Alabama +2.5 (5.0%)
2025-12-31,UTSA,Florida Atlantic,80.6,84.8,4.2,-16.5,12.3,157.7,155.5,2.2,SPREAD UTSA +16.5 (5.0%)
2025-12-31,Wofford,Western Carolina,76.0,64.0,-12.0,-1.5,13.5,140.4,153.5,13.1,TOTAL UNDER 153.5 (5.0%); SPREAD Wofford +1.5 (5.0%)
2025-12-31,Virginia,Virginia Tech,61.3,65.3,4.0,-5.5,1.5,126.5,153.5,27.0,TOTAL UNDER 153.5 (5.0%)
2025-12-31,Appalachian St.,Old Dominion,63.0,62.2,-0.8,2.5,1.7,125.1,137.5,12.4,TOTAL UNDER 137.5 (5.0%)
2025-12-31,Bucknell,Holy Cross,72.9,65.7,-7.2,2.5,4.7,138.6,136.5,2.1,SPREAD Bucknell -2.5 (5.0%)
2025-12-31,Campbell,Monmouth,70.7,75.0,4.3,-1.5,2.8,144.9,152.5,7.6,TOTAL UNDER 152.5 (5.0%); SPREAD Monmouth -1.5 (5.0%)
2025-12-31,Charleston,Elon,72.2,73.7,1.5,3.5,5.0,146.3,156.5,10.2,TOTAL UNDER 156.5 (5.0%); SPREAD Elon +3.5 (5.0%)
2025-12-31,Charleston Southern,Gardner-Webb,66.0,74.1,8.1,-12.5,4.4,140.2,162.5,22.3,TOTAL UNDER 162.5 (5.0%); SPREAD Charleston Southern +12.5 (5.0%)
2025-12-31,Clemson,Syracuse,79.6,66.4,-13.2,-1.5,14.7,144.0,141.5,2.5,SPREAD Clemson +1.5 (5.0%)
2025-12-31,Fordham,Dayton,73.5,82.1,8.6,-16.5,7.9,150.3,138.5,11.8,TOTAL OVER 138.5 (5.0%); SPREAD Fordham +16.5 (5.0%)
2025-12-31,George Mason,La Salle,74.9,62.8,-12.1,9.5,2.6,137.6,136.5,1.1,SPREAD George Mason -9.5 (5.0%)
2025-12-31,High Point,UNC Asheville,88.1,79.7,-8.4,12.5,4.1,148.2,155.5,7.3,SPREAD UNC Asheville +12.5 (5.0%)
2025-12-31,NJIT,Penn,64.4,71.6,7.2,-14.5,7.3,135.7,150.5,14.8,TOTAL UNDER 150.5 (5.0%); SPREAD NJIT +14.5 (5.0%)
2025-12-31,Radford,USC Upstate,76.2,66.9,-9.2,-1.5,10.7,143.1,158.5,15.4,TOTAL UNDER 158.5 (5.0%); SPREAD Radford +1.5 (5.0%)
2025-12-31,Rice,Tulsa,69.2,66.4,-2.8,-13.5,16.3,135.1,153.5,18.4,TOTAL UNDER 153.5 (5.0%); SPREAD Rice +13.5 (5.0%)
